,MAHALLE,İLCE,ZIPCODE
381,BALAT MAH,FATİH,34087
382,DERVİŞ ALİ MAH,FATİH,34087
383,BEYAZIT MAH,FATİH,34126
384,EMİN SİNAN MAH,FATİH,34126
385,MİMAR HAYRETTİN MAH,FATİH,34126
386,ŞEHSUVAR BEY MAH,FATİH,34126
387,ALEMDAR MAH,FATİH,34110
388,HOCAPAŞA MAH,FATİH,34110
389,İSKENDERPAŞA MAH,FATİH,34080
390,HIRKA-İ ŞERİF MAH,FATİH,34091
391,KARAGÜMRÜK MAH,FATİH,34091
392,CERRAHPAŞA MAH,FATİH,34098
393,KOCA MUSTAFAPAŞA MAH,FATİH,34098
394,SEYYİD ÖMER MAH,FATİH,34098
395,KATİP KASIM MAH,FATİH,34130
396,MESİHPAŞA MAH,FATİH,34130
397,MİMAR KEMALETTİN MAH,FATİH,34130
398,MUHSİNE HATUN MAH,FATİH,34130
399,NİŞANCA MAH,FATİH,34130
400,SARAÇ İSHAK MAH,FATİH,34130
401,MOLLA FENARİ MAH,FATİH,34120
402,SURURİ MAH,FATİH,34120
403,TAYA HATUN MAH,FATİH,34120
404,HOBYAR MAH,FATİH,34112
405,BİNBİRDİREK MAH,FATİH,34122
406,CANKURTARAN MAH,FATİH,34122
407,KÜÇÜK AYASOFYA MAH,FATİH,34122
408,SULTAN AHMET MAH,FATİH,34122
409,MEVLANAKAPI MAH,FATİH,34104
410,ŞEHREMİNİ MAH,FATİH,34104
411,MERCAN MAH,FATİH,34116
412,RÜSTEMPAŞA MAH,FATİH,34116
413,MOLLA GÜRANİ MAH,FATİH,34093
414,TOPKAPI MAH,FATİH,34093
415,BALABANAĞA MAH,FATİH,34134
416,DEMİRTAŞ MAH,FATİH,34134
417,HACI KADIN MAH,FATİH,34134
418,HOCA GIYASETTİN MAH,FATİH,34134
419,KALENDERHANE MAH,FATİH,34134
420,MOLLA HÜSREV MAH,FATİH,34134
421,SARIDEMİR MAH,FATİH,34134
422,YAVUZ SİNAN MAH,FATİH,34134
423,SİLİVRİKAPI MAH,FATİH,34107
424,SÜMBÜL EFENDİ MAH,FATİH,34107
425,YEDİKULE MAH,FATİH,34107
426,ALİ KUŞÇU MAH,FATİH,34083
427,CİBALİ MAH,FATİH,34083
428,YAVUZ SULTAN SELİM MAH,FATİH,34083
429,ZEYREK MAH,FATİH,34083
430,BAĞLARBAŞI MAH,GAZİOSMANPAŞA,34245
431,SARIGÖL MAH,GAZİOSMANPAŞA,34245
432,KARADENİZ MAH,GAZİOSMANPAŞA,34250
433,ŞEMSİPAŞA MAH,GAZİOSMANPAŞA,34250
434,KARAYOLLARI MAH,GAZİOSMANPAŞA,34255
435,KARLITEPE MAH,GAZİOSMANPAŞA,34240
436,PAZARİÇİ MAH,GAZİOSMANPAŞA,34240
437,YILDIZTABYA MAH,GAZİOSMANPAŞA,34240
438,AKINCILAR MAH,GÜNGÖREN,34160
439,GÜVEN MAH,GÜNGÖREN,34160
440,HAZNEDAR MAH,GÜNGÖREN,34160
441,MAREŞAL ÇAKMAK MAH,GÜNGÖREN,34160
442,GÜNEŞTEPE MAH,GÜNGÖREN,34164
443,GENÇOSMAN MAH,GÜNGÖREN,34165
444,SANAYİ MAH,GÜNGÖREN,34165
445,ABDURRAHMAN NAFİZ GÜRMAN MAH,GÜNGÖREN,34173
446,MEHMET NESİH ÖZMEN MAH,GÜNGÖREN,34173
447,TOZKOPARAN MAH,GÜNGÖREN,34173
448,BOSTANCI MAH,KADIKÖY,34744
449,CADDEBOSTAN MAH,KADIKÖY,34728
450,CAFERAĞA MAH,KADIKÖY,34710
451,EĞİTİM MAH,KADIKÖY,34722
452,HASANPAŞA MAH,KADIKÖY,34722
453,ERENKÖY MAH,KADIKÖY,34738
454,FENERBAHÇE MAH,KADIKÖY,34726
455,FENERYOLU MAH,KADIKÖY,34724
456,ZÜHTÜPAŞA MAH,KADIKÖY,34724
457,DUMLUPINAR MAH,KADIKÖY,34720
458,FİKİRTEPE MAH,KADIKÖY,34720
459,ACIBADEM MAH,KADIKÖY,34718
460,KOŞUYOLU MAH,KADIKÖY,34718
461,KOZYATAĞI MAH,KADIKÖY,34742
462,MERDİVENKÖY MAH,KADIKÖY,34732
463,OSMANAĞA MAH,KADIKÖY,34714
464,RASİMPAŞA MAH,KADIKÖY,34716
465,SAHRAYICEDİT MAH,KADIKÖY,34734
466,SUADİYE MAH,KADIKÖY,34740
467,ÇAĞLAYAN MAH,KAĞITHANE,34403
468,ÇELİKTEPE MAH,KAĞITHANE,34413
469,ORTABAYIR MAH,KAĞITHANE,34413
470,GÜLTEPE MAH,KAĞITHANE,34410
471,HARMANTEPE MAH,KAĞITHANE,34410
472,TELSİZLER MAH,KAĞITHANE,34410
473,YAHYA KEMAL MAH,KAĞITHANE,34410
474,GÜRSEL MAH,KAĞITHANE,34400
475,NURTEPE MAH,KAĞITHANE,34406
476,SEYRANTEPE MAH,KAĞITHANE,34418
477,YEŞİLCE MAH,KAĞITHANE,34418
478,EMNİYET EVLERİ MAH,KAĞITHANE,34415
479,SULTAN SELİM MAH,KAĞITHANE,34415
480,ŞİRİNTEPE MAH,KAĞITHANE,34415
481,ATALAR MAH,KARTAL,34862
482,PETROL İŞ MAH,KARTAL,34862
483,KARLIKTEPE MAH,KARTAL,34870
484,KORDONBOYU MAH,KARTAL,34860
485,YUKARI MAH,KARTAL,34860
486,CEVİZLİ MAH,KARTAL,34865
487,ORHANTEPE MAH,KARTAL,34865
488,SOĞANLIK YENİ MAH,KARTAL,34880
489,ÇAVUŞOĞLU MAH,KARTAL,34873
490,TOPSELVİ MAH,KARTAL,34873
491,YALI MAH,KARTAL,34873
492,YUNUS MAH,KARTAL,34873
493,UĞUR MUMCU MAH,KARTAL,34882
494,YAKACIK YENİ MAH,KARTAL,34882
495,YAKACIK ÇARŞI MAH,KARTAL,34876
496,ATAKENT MAH,KÜÇÜKÇEKMECE,34307
497,KÜÇÜKÇEKMECE İKİTELLİOSB MAH,KÜÇÜKÇEKMECE,34307
498,HALKALI MERKEZ MAH,KÜÇÜKÇEKMECE,34303
499,İSTASYON MAH,KÜÇÜKÇEKMECE,34303
500,YARIMBURGAZ MAH,KÜÇÜKÇEKMECE,34303
501,CENNET MAH,KÜÇÜKÇEKMECE,34290
502,KANARYA MAH,KÜÇÜKÇEKMECE,34290
503,BEŞYOL MAH,KÜÇÜKÇEKMECE,34295
504,SÖĞÜTLÜ ÇEŞME MAH,KÜÇÜKÇEKMECE,34295
505,SULTAN MURAT MAH,KÜÇÜKÇEKMECE,34295
506,TEVFİKBEY MAH,KÜÇÜKÇEKMECE,34295
507,YEŞİLOVA MAH,KÜÇÜKÇEKMECE,34295
508,AYDINEVLER MAH,MALTEPE,34854
509,BAŞIBÜYÜK MAH,MALTEPE,34854
510,FINDIKLI MAH,MALTEPE,34854
511,BÜYÜKBAKKALKÖY MAH,MALTEPE,34858
512,ALTAYÇEŞME MAH,MALTEPE,34843
513,FEYZULLAH MAH,MALTEPE,34843
514,GÜLENSU MAH,MALTEPE,34848
515,GÜLSUYU MAH,MALTEPE,34848
516,İDEALTEPE MAH,MALTEPE,34841
517,ALTINTEPE MAH,MALTEPE,34840
518,KÜÇÜKYALI MERKEZ MAH,MALTEPE,34840
519,GİRNE MAH,MALTEPE,34852
520,ZÜMRÜTEVLER MAH,MALTEPE,34852
521,SAPAN BAĞLARI MAH,PENDİK,34893
522,YENİ MAH,PENDİK,34893
523,YEŞİLBAĞLAR MAH,PENDİK,34893
524,ÇAMÇEŞME MAH,PENDİK,34899
525,ESENLER MAH,PENDİK,34899
526,KAVAKPINAR MAH,PENDİK,34899
527,BATI MAH,PENDİK,34890
528,DOĞU MAH,PENDİK,34890
529,ÇINARDERE MAH,PENDİK,34896
530,VELİBABA MAH,PENDİK,34896
531,AHMET YESEVİ MAH,PENDİK,34903
532,ESENYALI MAH,PENDİK,34903
533,GÜZELYALI MAH,PENDİK,34903
534,ORHANGAZİ MAH,PENDİK,34903
535,BALLICA MAH,PENDİK,34916
536,EMİRLİ MAH,PENDİK,34916
537,GÖÇBEYLİ MAH,PENDİK,34916
538,KURNA MAH,PENDİK,34916
539,KURTDOĞMUŞ MAH,PENDİK,34916
540,GÜLLÜ BAĞLAR MAH,PENDİK,34906
541,RAMAZANOĞLU MAH,PENDİK,34906
542,ŞEYHLİ MAH,PENDİK,34906
543,ERTUĞRUL GAZİ MAH,PENDİK,34909
544,SÜLÜNTEPE MAH,PENDİK,34909
545,YAYALAR MAH,PENDİK,34909
546,HARMANDERE MAH,PENDİK,34912
547,KURTKÖY MAH,PENDİK,34912
548,EYÜP SULTAN MAH,SANCAKTEPE,34885
549,VEYSEL KARANİ MAH,SANCAKTEPE,34885
550,ABDURRAHMANGAZİ MAH,SANCAKTEPE,34887
551,EMEK MAH,SANCAKTEPE,34785
552,KEMAL TÜRKLER MAH,SANCAKTEPE,34785
553,MECLİS MAH,SANCAKTEPE,34785
554,SARIGAZİ MAH,SANCAKTEPE,34785
555,HİLAL MAH,SANCAKTEPE,34791
556,MERVE MAH,SANCAKTEPE,34791
557,PAŞAKÖY MAH,SANCAKTEPE,34791
558,SAFA MAH,SANCAKTEPE,34791
559,BAHÇEKÖY KEMER MAH,SARIYER,34473
560,BAHÇEKÖY MERKEZ MAH,SARIYER,34473
561,BAHÇEKÖY YENİ MAH,SARIYER,34473
562,BÜYÜKDERE MAH,SARIYER,34453
563,ÇAYIRBAŞI MAH,SARIYER,34453
564,KOCATAŞ MAH,SARIYER,34453
565,PTT EVLERİ MAH,SARIYER,34453
566,EMİRGAN MAH,SARIYER,34467
567,REŞİTPAŞA MAH,SARIYER,34467
568,İSTİNYE MAH,SARIYER,34460
569,POLİGON MAH,SARIYER,34460
570,AYAZAĞA MAH,SARIYER,34485
571,HUZUR MAH,SARIYER,34485
572,MASLAK MAH,SARIYER,34485
573,BALTALİMANI MAH,SARIYER,34470
574,FATİH SULTAN MEHMET MAH,SARIYER,34470
575,RUMELİHİSARI MAH,SARIYER,34470
576,DEMİRCİKÖY MAH,SARIYER,34450
577,GARİPÇE MAH,SARIYER,34450
578,GÜMÜŞDERE MAH,SARIYER,34450
579,KAZIM KARABEKİR PAŞA MAH,SARIYER,34450
580,KISIRKAYA MAH,SARIYER,34450
581,KUMKÖY  MAH (KİLYOS MAH),SARIYER,34450
582,RUMELİFENERİ MAH,SARIYER,34450
583,RUMELİKAVAĞI MAH,SARIYER,34450
584,SARIYER MERKEZ MAH,SARIYER,34450
585,USKUMRUKÖY MAH,SARIYER,34450
586,ZEKERİYAKÖY MAH,SARIYER,34450
587,ÇAMLITEPE MAH,SARIYER,34457
588,DARÜŞŞAFAKA MAH,SARIYER,34457
589,FERAHEVLER MAH,SARIYER,34457
590,KİREÇBURNU MAH,SARIYER,34457
591,TARABYA MAH,SARIYER,34457
592,BEYCİLER MAH,SİLİVRİ,34594
593,BÜYÜK ÇAVUŞLU MAH,SİLİVRİ,34594
594,BÜYÜK SİNEKLİ MAH,SİLİVRİ,34594
595,ÇAYIRDERE MAH,SİLİVRİ,34594
596,DANAMANDIRA MAH,SİLİVRİ,34594
597,KÜÇÜK SİNEKLİ MAH,SİLİVRİ,34594
598,SAYALAR MAH,SİLİVRİ,34594
599,FEVZİPAŞA MAH,SİLİVRİ,34586
600,İSMETPAŞA MAH,SİLİVRİ,34586
601,BEKİRLİ MAH,SİLİVRİ,34582
602,BÜYÜK KILIÇLI MAH,SİLİVRİ,34582
603,ÇELTİK MAH,SİLİVRİ,34582
604,FENER MAH,SİLİVRİ,34582
605,KURFALLI MAH,SİLİVRİ,34582
606,KÜÇÜK KILIÇLI MAH,SİLİVRİ,34582
607,SEYMEN MAH,SİLİVRİ,34582
608,YOLÇATI MAH,SİLİVRİ,34582
609,GÜMÜŞYAKA MAH,SİLİVRİ,34588
610,AKÖREN MAH,SİLİVRİ,34592
611,GAZİTEPE MAH,SİLİVRİ,34592
612,KADIKÖY MAH,SİLİVRİ,34592
613,SELİMPAŞA MAH,SİLİVRİ,34590
614,ALİBEY MAH,SİLİVRİ,34570
615,ALİPAŞA MAH,SİLİVRİ,34570
616,PİRİ MEHMET PAŞA MAH,SİLİVRİ,34570
617,SEMİZKUMLAR MAH,SİLİVRİ,34570
618,ADİL MAH,SULTANBEYLİ,34935
619,NECİP FAZIL MAH,SULTANBEYLİ,34925
620,50. YIL MAH,SULTANGAZİ,34265
621,CEBECİ MAH,SULTANGAZİ,34270
622,ESKİ HABİPLER MAH,SULTANGAZİ,34270
623,HABİBLER MAH,SULTANGAZİ,34270
624,MALKOÇOĞLU MAH,SULTANGAZİ,34270
625,YAYLA MAH,SULTANGAZİ,34270
626,75. YIL MAH,SULTANGAZİ,34260
627,GAZİ MAH,SULTANGAZİ,34260
628,ZÜBEYDE HANIM MAH,SULTANGAZİ,34260
629,AĞVA MERKEZ MAH,ŞİLE,34990
630,BUCAKLI MAH,ŞİLE,34990
631,ÇATAKLI MAH,ŞİLE,34990
632,ÇELEBİ MAH,ŞİLE,34990
633,GEREDELİ MAH,ŞİLE,34990
634,GÖÇE MAH,ŞİLE,34990
635,GÖKMAŞLI MAH,ŞİLE,34990
636,HACILLI MAH,ŞİLE,34990
637,İSAKÖY MAH,ŞİLE,34990
638,KALEM MAH,ŞİLE,34990
639,SOĞULLU MAH,ŞİLE,34990
640,ŞUAYİPLİ MAH,ŞİLE,34990
641,AĞAÇDERE MAH,ŞİLE,34983
642,AHMETLİ MAH,ŞİLE,34983
643,AKÇAKESE MAH,ŞİLE,34983
644,ALACALI MAH,ŞİLE,34983
645,AVCIKORU MAH,ŞİLE,34983
646,BIÇKIDERE MAH,ŞİLE,34983
647,BOZGOCA MAH,ŞİLE,34983
648,ÇENGİLLİ MAH,ŞİLE,34983
649,DARLIK MAH,ŞİLE,34983
650,DEĞİRMENÇAYIRI MAH,ŞİLE,34983
651,DOĞANCILI MAH,ŞİLE,34983
652,ERENLER MAH,ŞİLE,34983
653,ESENCELİ MAH,ŞİLE,34983
654,HASANLI MAH,ŞİLE,34983
655,İMRENDERE MAH,ŞİLE,34983
656,İMRENLİ MAH,ŞİLE,34983
657,KABAKOZ MAH,ŞİLE,34983
658,KARABEYLİ MAH,ŞİLE,34983
659,KARACAKÖY MAH,ŞİLE,34983
660,KARAKİRAZ MAH,ŞİLE,34983
661,KERVANSARAY MAH,ŞİLE,34983
662,KIZILCA MAH,ŞİLE,34983
663,KORUCU MAH,ŞİLE,34983
664,KÖMÜRLÜK MAH,ŞİLE,34983
665,MEŞRUTİYET MAH,ŞİLE,34983
666,ORUÇOĞLU MAH,ŞİLE,34983
667,OSMANKÖY MAH,ŞİLE,34983
668,OVACIK MAH,ŞİLE,34983
669,SAHİLKÖY MAH,ŞİLE,34983
670,SATMAZLI MAH,ŞİLE,34983
671,SOFULAR MAH,ŞİLE,34983
672,SORTULLU MAH,ŞİLE,34983
673,TEKE MAH,ŞİLE,34983
674,ULUPELİT MAH,ŞİLE,34983
675,ÜVEZLİ MAH,ŞİLE,34983
676,YAKA MAH,ŞİLE,34983
677,YAYLALI MAH,ŞİLE,34983
678,YAZIMANAYIR MAH,ŞİLE,34983
679,YEŞİLVADİ MAH,ŞİLE,34983
680,BALİBEY MAH,ŞİLE,34980
681,ÇAVUŞ MAH,ŞİLE,34980
682,HACI KASIM MAH,ŞİLE,34980
683,KUMBABA MAH,ŞİLE,34980
684,BOZKURT MAH,ŞİŞLİ,34375
685,ESKİŞEHİR MAH,ŞİŞLİ,34375
686,DUATEPE MAH,ŞİŞLİ,34379
687,PAŞA MAH,ŞİŞLİ,34379
688,FULYA MAH,ŞİŞLİ,34394
689,GÜLBAHAR MAH,ŞİŞLİ,34394
690,FERİKÖY MAH,ŞİŞLİ,34377
691,HALASKARGAZİ MAH,ŞİŞLİ,34371
692,HARBİYE MAH,ŞİŞLİ,34367
693,İZZET PAŞA MAH,ŞİŞLİ,34381
694,KUŞTEPE MAH,ŞİŞLİ,34381
695,MECİDİYEKÖY MAH,ŞİŞLİ,34381
696,HALİDE EDİP ADIVAR MAH,ŞİŞLİ,34384
697,HALİL RIFAT PAŞA MAH,ŞİŞLİ,34384
698,MAHMUT ŞEVKET PAŞA MAH,ŞİŞLİ,34384
699,ERGENEKON MAH,ŞİŞLİ,34373
700,TEŞVİKİYE MAH,ŞİŞLİ,34365
701,AKFIRAT MAH,TUZLA,34959
702,TEPEOREN İTOSB MAH,TUZLA,34959
703,TEPEÖREN MAH,TUZLA,34959
704,AYDINLI - BİRLİK OSB MAH,TUZLA,34953
705,AYDINLI - İSTANBUL AYOSB MAH,TUZLA,34953
706,AYDINLI MAH,TUZLA,34953
707,AYDINLI SB MAH,TUZLA,34953
708,AYDINLI-KOSB MAH,TUZLA,34953
709,CAMİ MAH,TUZLA,34940
710,POSTANE MAH,TUZLA,34940
711,AYDINTEPE MAH,TUZLA,34947
712,İÇMELER MAH,TUZLA,34947
713,ŞİFA MAH,TUZLA,34950
714,DERİ OSB MAH,TUZLA,34956
715,MESCİT MAH,TUZLA,34956
716,ORHANLI MAH,TUZLA,34956
717,ADEM YAVUZ MAH,ÜMRANİYE,34773
718,AŞAĞI DUDULLU MAH,ÜMRANİYE,34773
719,PARSELLER MAH,ÜMRANİYE,34773
720,ARMAĞANEVLER MAH,ÜMRANİYE,34760
721,FİNANSKENT MAH,ÜMRANİYE,34760
722,SİTE MAH,ÜMRANİYE,34760
723,ELMALIKENT MAH,ÜMRANİYE,34764
724,TANTAVİ MAH,ÜMRANİYE,34764
725,ÇAKMAK MAH,ÜMRANİYE,34774
726,TATLISU MAH,ÜMRANİYE,34774
727,ESENŞEHİR MAH,ÜMRANİYE,34776
728,MADENLER MAH,ÜMRANİYE,34776
729,CEMİL MERİÇ MAH,ÜMRANİYE,34771
730,IHLAMURKUYU MAH,ÜMRANİYE,34771
731,TEPEÜSTÜ MAH,ÜMRANİYE,34771
732,İNKILAP MAH,ÜMRANİYE,34768
733,SARAY MAH,ÜMRANİYE,34768
734,YAMANEVLER MAH,ÜMRANİYE,34768
735,HEKİMBAŞI MAH,ÜMRANİYE,34766
736,TOPAĞACI MAH,ÜMRANİYE,34766
737,ESENEVLER MAH,ÜMRANİYE,34762
738,DUDULLU OSB MAH,ÜMRANİYE,34775
739,ŞERİFALİ MAH,ÜMRANİYE,34775
740,YUKARI DUDULLU MAH,ÜMRANİYE,34775
741,ALTUNİZADE MAH,ÜSKÜDAR,34662
742,BEYLERBEYİ MAH,ÜSKÜDAR,34676
743,BURHANİYE MAH,ÜSKÜDAR,34676
744,KÜPLÜCE MAH,ÜSKÜDAR,34676
745,BULGURLU MAH,ÜSKÜDAR,34696
746,KÜÇÜK ÇAMLICA MAH,ÜSKÜDAR,34696
747,ÇENGELKÖY MAH,ÜSKÜDAR,34680
748,FERAH MAH,ÜSKÜDAR,34692
749,KISIKLI MAH,ÜSKÜDAR,34692
750,KANDİLLİ MAH,ÜSKÜDAR,34684
751,KULELİ MAH,ÜSKÜDAR,34684
752,KÜÇÜKSU MAH,ÜSKÜDAR,34684
753,KİRAZLITEPE MAH,ÜSKÜDAR,34682
754,İCADİYE MAH,ÜSKÜDAR,34674
755,KUZGUNCUK MAH,ÜSKÜDAR,34674
756,SULTANTEPE MAH,ÜSKÜDAR,34674
757,AZİZ MAHMUT HÜDAYİ MAH,ÜSKÜDAR,34672
758,MURATREİS MAH,ÜSKÜDAR,34664
759,SELAMİ ALİ MAH,ÜSKÜDAR,34664
760,VALİDE-İ ATİK MAH,ÜSKÜDAR,34664
761,SALACAK MAH,ÜSKÜDAR,34668
762,SELİMİYE MAH,ÜSKÜDAR,34668
763,ZEYNEP KAMİL MAH,ÜSKÜDAR,34668
764,ÜNALAN MAH,ÜSKÜDAR,34700
765,YAVUZTÜRK MAH,ÜSKÜDAR,34690
766,ÇIRPICI MAH,ZEYTİNBURNU,34025
767,NURİPAŞA MAH,ZEYTİNBURNU,34025
768,SÜMER MAH,ZEYTİNBURNU,34025
769,VELİEFENDİ MAH,ZEYTİNBURNU,34025
770,YEŞİLTEPE MAH,ZEYTİNBURNU,34025
771,MERKEZEFENDİ MAH,ZEYTİNBURNU,34015
772,SEYİTNİZAM MAH,ZEYTİNBURNU,34015
773,BEŞTELSİZ MAH,ZEYTİNBURNU,34020
774,GÖKALP MAH,ZEYTİNBURNU,34020
775,KAZLIÇEŞME MAH,ZEYTİNBURNU,34020
776,TELSİZ MAH,ZEYTİNBURNU,34020
777,MALTEPE MAH,ZEYTİNBURNU,34010
